"x_coord","y_coord"
5,1
5,1
7,3
7,3
9,5
9,5
2,10
4,12
15,1
15,1
17,3
17,3
19,5
19,5
0,15
0,15
2,17
2,17
4,19
4,19
6,8
6,8
7,10
7,10
9,12
9,12
10,15
10,15
12,17
12,17
14,19
10,1
10,1
12,3
12,3
14,5
14,5
15,8
15,8
17,10
17,10
19,12
19,12
-14,-27
-14,-27
-14,-20
-14,-20
-16,-25
-16,-25
-16,-18
-18,-16
-18,-16
-18,-23
-18,-23
10,8
10,8
12,10
12,10
14,12
14,12
0,1
0,1
2,3
2,3
4,5
4,5
-14,37
-18,33
-18,33
-16,35
-16,35
-1,5
-1,5
-5,1
-5,1
-3,3
-3,3
-10,15
-10,15
-1,19
-8,17
-8,17
-6,19
-5,15
-5,15
-3,17
-3,17
5,15
5,15
7,17
7,17
9,19
9,19
15,15
17,17
17,17
19,19
19,19
