species,type,percentC,percentN,CNratio
cladocalyx,fresh,51.29,2.271,22.5847644209599
cladocalyx,litter,52.99,1.212,43.7211221122112
cladocalyx,fresh,53.86,1.508,35.7161803713528
cladocalyx,litter,54.21,0.892,60.7735426008969
cladocalyx,fresh,55.43,1.916,28.9300626304802
cladocalyx,litter,55.48,0.8713,63.6749684379663
cladocalyx,fresh,52.72,2.338,22.5491873396065
cladocalyx,fresh,53.39,2.62,20.3778625954198
crebra,fresh,54.92,1.382,39.739507959479
crebra,litter,54.31,0.9871,55.0197548374025
crebra,fresh,45.66,1.311,34.8283752860412
crebra,litter,52.84,0.866,61.0161662817552
crebra,fresh,51.54,1.561,33.0172966047406
crebra,litter,52.2,0.8388,62.2317596566524
crebra,fresh,50.18,1.759,28.5275724843661
crebra,litter,51.23,0.9301,55.0800989140953
crebra,fresh,54.32,2.042,26.6013712047013
crebra,litter,51.12,0.9495,53.8388625592417
crebra,fresh,51.19,1.801,28.423098278734
crebra,litter,58.51,1.008,58.0456349206349
dunnii,fresh,51.01,1.606,31.7621419676214
dunnii,litter,62.31,1.003,62.123629112662
dunnii,fresh,54.58,1.75,31.1885714285714
dunnii,litter,51.23,0.7475,68.5351170568562
dunnii,fresh,52.07,2.455,21.2097759674134
dunnii,litter,58.51,0.5675,103.101321585903
dunnii,fresh,56.77,1.676,33.8723150357995
dunnii,litter,54.25,1.03,52.6699029126214
dunnii,fresh,53.12,1.654,32.1160822249093
dunnii,litter,53.61,0.7943,67.4933904066474
dunnii,fresh,54.9,1.263,43.4679334916865
grandis,fresh,52.29,2.012,25.9890656063618
grandis,litter,54.91,1.023,53.6754643206256
grandis,fresh,54.77,1.501,36.4890073284477
grandis,litter,58.51,1.038,56.3680154142582
grandis,fresh,55.03,2.078,26.4821944177093
grandis,litter,50.79,0.3813,133.202202989772
grandis,fresh,49.2,1.921,25.6116605934409
grandis,litter,51.8,0.9482,54.6298249314491
grandis,fresh,51.81,1.775,29.1887323943662
grandis,litter,55.07,0.6821,80.7359624688462
grandis,fresh,48.79,2.702,18.0569948186528
grandis,litter,57.64,1.01,57.0693069306931
globulus,fresh,46.03,1.705,26.9970674486804
globulus,litter,49.31,1.405,35.0960854092527
globulus,fresh,53.55,2.098,25.5243088655863
globulus,litter,48.7,1.483,32.8388401888065
globulus,fresh,52.29,1.517,34.4693473961767
globulus,litter,53.34,1.429,37.3268019594122
globulus,fresh,48.82,1.176,41.5136054421769
globulus,fresh,51.82,1.306,39.6784073506891
globulus,litter,50.61,1.473,34.3584521384929
globulus,fresh,49.8,1.395,35.6989247311828
globulus,litter,45.88,1.277,35.9279561472201
melliodora,fresh,51.57,1.897,27.1850289931471
melliodora,litter,57.63,1.266,45.521327014218
melliodora,fresh,54.4,2.049,26.5495363591996
melliodora,litter,52.8,1.148,45.993031358885
melliodora,fresh,54.6,1.962,27.82874617737
melliodora,litter,52.94,1.243,42.5905068382944
melliodora,fresh,56.59,1.714,33.0163360560093
melliodora,litter,55.61,1.368,40.6505847953216
melliodora,fresh,52.98,2.186,24.2360475754803
melliodora,litter,65.76,1.689,38.9342806394316
melliodora,fresh,51.12,1.663,30.7396271797955
melliodora,litter,56.62,0.9599,58.9853109698927
saligna,litter,53.16,0.5317,99.9811924017303
saligna,fresh,49.12,1.844,26.6377440347072
saligna,litter,56.36,1.061,53.119698397738
saligna,fresh,51.3,1.786,28.7234042553191
saligna,litter,52.81,0.7309,72.2533862361472
saligna,fresh,53.5,1.514,35.336856010568
saligna,litter,52.01,0.5834,89.14981145012
saligna,fresh,53.32,1.528,34.8952879581152
saligna,litter,56.89,0.7285,78.0919698009609
saligna,fresh,50.52,2.133,23.6849507735584
saligna,litter,51.25,0.7053,72.6641145611796
sideroxylon,fresh,61.34,1.564,39.2199488491049
sideroxylon,litter,57.87,1.618,35.7663782447466
sideroxylon,fresh,54.83,1.538,35.6501950585176
sideroxylon,fresh,52.05,1.565,33.258785942492
sideroxylon,litter,60.3,1.531,39.3860222077074
sideroxylon,litter,60.94,1.367,44.57937088515
sideroxylon,fresh,62.66,1.392,45.014367816092
sideroxylon,litter,55.86,1.223,45.6745707277187
sideroxylon,fresh,55.78,2.052,27.1832358674464
sideroxylon,litter,56.99,1.371,41.5681983953319
tereticornis,fresh,54.31,2.587,20.9934286818709
tereticornis,litter,53.55,0.9103,58.8267604086565
tereticornis,fresh,52.23,2.093,24.9546106067845
tereticornis,litter,56.17,1.106,50.7866184448463
tereticornis,fresh,51.55,2.266,22.7493380406002
tereticornis,litter,53.39,1.091,48.9367552703941
tereticornis,fresh,49.15,1.893,25.9640781827787
tereticornis,fresh,51.92,2.09,24.8421052631579
tereticornis,litter,54.53,1.151,47.3761946133797
tereticornis,fresh,53.02,2.046,25.9139784946237
tereticornis,litter,56.14,1.327,42.3059532780708
